"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-08-31,58899,"02771","MA","Providence-Warwick","Bristol","Seekonk",7206,333900,-0.000598623166716552,0.00330528846153846,0.0418096723868955,0.0504978849490287,0.0167488769875583,"2006-05","2006-Q2",338200,-0.0127143701951508,"2005-06"
2018-08-31,70884,"30107","GA","Atlanta-Sandy Springs-Roswell","Cherokee","Ball Ground",7207,244200,0,0.00535199670646357,0.103978300180832,0.0963071768539996,0.0201166994821202,"2018-08","2018-Q3",244200,0,"2018-08"
2018-08-31,71537,"31501","GA","Waycross","Ware","Waycross",7208,71600,0.0013986013986014,-0.0440587449933244,-0.00417246175243394,0.0299804370534211,-0.0042008702217059,"2007-04","2007-Q2",78200,-0.0843989769820972,"2005-10"
2018-08-31,87123,"66207","KS","Kansas City","Johnson","Overland Park",7209,316400,-0.000947268708556994,-0.000631711939355654,0.0846760370243401,0.0770516932483825,0.0394413893498604,"2018-06","2018-Q2",317500,-0.00346456692913386,"2018-05"
2018-08-31,73238,"34972","FL","Okeechobee","Okeechobee","Okeechobee",7210,106200,-0.00468603561387067,0.0381231671554252,0.032069970845481,0.063266797710132,-0.0112522354129917,"2006-07","2006-Q3",151700,-0.299934080421885,"2005-01"
2018-08-31,97064,"92866","CA","Los Angeles-Long Beach-Anaheim","Orange","Orange",7211,699700,0.000572000572000572,0.00488295275025133,0.0463586062509347,0.0555219847455739,0.0335222733116149,"2018-08","2018-Q3",699700,0,"2018-08"
2018-08-31,92157,"77905","TX","Victoria","Victoria","Victoria",7212,168600,-0.000592768227622999,0.00536672629695885,0.0324556031843233,0.0380253773711308,0.0299624329368948,"2018-07","2018-Q3",168700,-0.000592768227622999,"2018-07"
2018-08-31,85806,"62946","IL",,"Saline","Harrisburg",7213,48800,0,0.00205338809034908,0.0145530145530146,0.00414952018891568,0.0237248646392845,"2018-08","2018-Q3",48800,0,"2018-08"
2018-08-31,70551,"29560","SC","Florence","Florence","Lake City",7214,60900,0.00329489291598023,0.01669449081803,0.162213740458015,-0.0120326272956974,-0.00649423025952911,"2007-04","2007-Q2",72500,-0.16,"2005-08"
2018-08-31,75516,"40071","KY","Louisville/Jefferson County","Spencer","Taylorsville",7215,197100,0,-0.00050709939148073,0.0373684210526316,0.0453480148915544,0.0203100364440576,"2018-05","2018-Q2",197200,-0.00050709939148073,"2018-05"
2018-08-31,93631,"81003","CO","Pueblo","Pueblo","Pueblo",7216,104000,0,0.0176125244618395,0.137855579868709,0.104960441624017,0.0351381723297848,"2018-08","2018-Q3",104000,0,"2018-08"
2018-08-31,58410,"01532","MA","Worcester","Worcester","Northborough",7217,427100,-0.00326721120186698,0.00305307656176609,0.042724609375,0.0529387924953608,0.0246779385894143,"2018-06","2018-Q2",428900,-0.00419678246677547,"2018-06"
2018-08-31,85911,"63080","MO",,"Washington","Sullivan",7218,120800,0.00165837479270315,0.0142737195633921,0.0785714285714286,0.0381369249803016,0.0119318107838016,"2018-08","2018-Q3",120800,0,"2018-08"
2018-08-31,62254,"11780","NY","New York-Newark-Jersey City","Suffolk","Saint James",7219,477600,-0.00167224080267559,0,0.0441626585045912,0.0308077183701136,0.00551838575433194,"2006-06","2006-Q2",572800,-0.166201117318436,"2004-10"
2018-08-31,98505,"95954","CA","Chico","Butte","Magalia",7220,222900,0.000448833034111311,0.0122615803814714,0.105106593951413,0.081626362000841,0.00583037569498956,"2006-01","2006-Q1",270700,-0.176579239009974,"2004-09"
2018-08-31,99107,"97141","OR",,"Tillamook","Tillamook",7221,235900,-0.000847098686997035,0.00768902178556173,0.0693563009972801,0.0599166172866585,0.0140548931743247,"2018-01","2018-Q1",245600,-0.0394951140065147,"2017-12"
2018-08-31,70286,"29061","SC","Columbia","Richland","Hopkins",7222,106700,-0.000936329588014981,0.0056550424128181,0.0910020449897751,0.0713429714954965,0.00431824491891564,"2008-01","2008-Q1",108300,-0.0147737765466297,"2007-11"
2018-08-31,74883,"38571","TN","Crossville","Cumberland","Crossville",7223,131600,0.000760456273764259,0.0115295926210607,0.0578778135048231,0.0565651131246465,0.00976060504978205,"2018-08","2018-Q3",131600,0,"2018-08"
2018-08-31,66059,"19806","DE","Philadelphia-Camden-Wilmington","New Castle","Wilmington",7224,257900,0,-0.0126339969372129,0.0246324990067541,0.0179137817896566,-0.00461311360352257,"2006-08","2006-Q3",298300,-0.135434126718069,"2004-12"
2018-08-31,73329,"35120","AL","Birmingham-Hoover","Saint Clair","Argo",7225,164700,-0.000606796116504854,0.00243457090687766,0.0191831683168317,0.0191213016967842,0.00569275209163433,"2007-03","2007-Q1",165500,-0.00483383685800604,"2007-01"
2018-08-31,67784,"23663","VA","Virginia Beach-Norfolk-Newport News","Hampton City","Hampton",7226,126800,-0.00782472613458529,-0.0170542635658915,0.0111642743221691,0.0635077725162276,-0.0144721217079935,"2008-05","2008-Q2",147400,-0.139755766621438,"2006-03"
2018-08-31,81518,"53959","WI","Baraboo","Sauk","Reedsburg",7227,156000,-0.00128040973111396,-0.0114068441064639,0.0519217801753203,0.0437420693086947,0.0148435918222043,"2018-05","2018-Q2",157800,-0.0114068441064639,"2018-04"
2018-08-31,73098,"34432","FL","Ocala","Marion","Dunnellon",7228,160700,0.00124610591900312,0.004375,0.0579328505595787,0.0617464633858651,-0.00484648936726562,"2006-08","2006-Q3",224500,-0.284187082405345,"2005-04"
2018-08-31,68557,"25313","WV","Charleston","Kanawha","Cross Lanes",7229,122300,-0.00244698205546493,-0.0097165991902834,-0.0301348136399683,0.00330859175290876,0.00609632704782426,"2017-10","2017-Q4",127700,-0.0422866092404072,"2017-05"
2018-08-31,77524,"45233","OH","Cincinnati","Hamilton","Cincinnati",7230,204700,-0.00437743190661479,-0.00146341463414634,0.00887136520453425,0.0394426963427892,0.00935491154744317,"2018-06","2018-Q2",205900,-0.00582807187955318,"2018-05"
2018-08-31,62074,"11362","NY","New York-Newark-Jersey City","Queens","New York",7231,912000,-0.00207900207900208,-0.00153273483687322,0.0324917921430997,0.0565473677423241,0.0313647122837595,"2018-06","2018-Q2",915000,-0.00327868852459016,"2018-05"
2018-08-31,67530,"23093","VA",,"Louisa","Louisa",7232,178800,0.00168067226890756,0.00675675675675676,0.0347222222222222,0.0231215848334709,-0.00553555726042376,"2007-04","2007-Q2",201400,-0.112214498510427,"2005-05"
2018-08-31,97964,"95066","CA","Santa Cruz-Watsonville","Santa Cruz","Scotts Valley",7233,904800,-0.00088339222614841,0.00689962163365235,0.066603795826948,0.0591848617360899,0.0305711828644062,"2018-07","2018-Q3",905600,-0.00088339222614841,"2018-06"
2018-08-31,87877,"68131","NE","Omaha-Council Bluffs","Douglas","Omaha",7234,128000,-0.0015600624024961,0.0207336523125997,0.108225108225108,0.0734621269285316,0.0465630417729062,"2018-07","2018-Q3",128200,-0.0015600624024961,"2018-07"
2018-08-31,91963,"77474","TX","Houston-The Woodlands-Sugar Land","Austin","Sealy",7235,206900,0,0.00339476236663434,0.0207202762703503,0.0611110351138811,0.0263606197718875,"2018-06","2018-Q2",207000,-0.000483091787439614,"2018-06"
2018-08-31,81358,"53532","WI","Madison","Dane","De Forest",7236,263500,-0.00151572565365669,0.000759589821496392,0.0361777428234369,0.0588223155956193,0.0216961007835055,"2018-06","2018-Q2",264400,-0.00340393343419062,"2018-06"
2018-08-31,82571,"56031","MN","Fairmont","Martin","Fairmont",7237,110500,0.000905797101449275,0.0036330608537693,0.0414703110273327,0.0473034566392228,0.0128029176468534,"2018-08","2018-Q3",110500,0,"2018-08"
2018-08-31,96072,"90094","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",7238,1028700,-0.00213405761955573,0.00971731448763251,0.0704474505723205,0.0998152074927265,0.0601068192169036,"2018-07","2018-Q3",1030900,-0.00213405761955573,"2018-07"
2018-08-31,63569,"14513","NY","Rochester","Wayne","Newark",7239,93900,-0.00212539851222104,0.00427807486631016,0.0273522975929978,0.0198307869823706,0.0101038032843661,"2018-07","2018-Q3",94100,-0.00212539851222104,"2018-06"
2018-08-31,85208,"61866","IL","Champaign-Urbana","Champaign","Rantoul",7240,70300,0.00142450142450142,-0.020891364902507,-0.0140252454417952,0.0214567244557611,-0.0139093831765562,"2007-03","2007-Q1",81700,-0.13953488372093,"2003-08"
2018-08-31,91067,"75762","TX","Tyler","Smith","Tyler",7241,190200,0,0.00422386483632524,0.0697412823397075,0.0457220357943657,0.0216689936054026,"2018-08","2018-Q3",190200,0,"2018-08"
2018-08-31,63818,"14901","NY","Elmira","Chemung","Elmira",7242,61800,-0.00161550888529887,0,-0.00802568218298555,0.00228089695398204,0.00671389670884603,"2017-12","2017-Q4",62600,-0.012779552715655,"2017-04"
2018-08-31,87859,"68108","NE","Omaha-Council Bluffs","Douglas","Omaha",7243,82800,-0.00240963855421687,0.0171990171990172,0.0837696335078534,0.0605936792406465,0.0217046911152807,"2018-07","2018-Q3",83000,-0.00240963855421687,"2018-07"
2018-08-31,79172,"48381","MI","Detroit-Warren-Dearborn","Oakland","Milford",7244,306200,-0.00293064148485835,0.00492287495897604,0.071753587679384,0.070843423868755,0.0389471900382616,"2018-06","2018-Q2",307500,-0.00422764227642276,"2018-06"
2018-08-31,85808,"62948","IL","Carbondale-Marion","Williamson","Herrin",7245,69100,-0.00432276657060519,-0.0114449213161659,-0.00432276657060519,0.0360003371161577,0.00249407633216769,"2006-09","2006-Q3",72200,-0.0429362880886427,"2006-03"
2018-08-31,84514,"60463","IL","Chicago-Naperville-Elgin","Cook","Palos Heights",7246,251500,-0.00356576862123613,-0.00396039603960396,0.0354055166735282,0.0187509736874893,-0.0135680515736673,"2006-10","2006-Q4",330600,-0.239261947973382,"2003-01"
2018-08-31,73245,"34984","FL","Port St. Lucie","Saint Lucie","Port Saint Lucie",7247,213300,0.000938526513374003,0.0137832699619772,0.115585774058577,0.133873478019482,0.0396846346604707,"2006-05","2006-Q2",250300,-0.147822612864563,"2005-07"
2018-08-31,60707,"07514","NJ","New York-Newark-Jersey City","Passaic","Paterson",7248,221800,-0.0018001800180018,0.0118613138686131,0.139188495120699,0.0594789527934945,-0.026104638834949,"2006-12","2006-Q4",343100,-0.353541241620519,"2004-06"
2018-08-31,81658,"54409","WI",,"Langlade","Antigo",7249,86200,0,0.0165094339622642,0.0153121319199058,0.068321565336249,0.0222683995441875,"2004-11","2004-Q4",90400,-0.0464601769911504,"2004-07"
